"title","Unnamed..0","Release_Date","Developers","Summary","Platforms","Genres","Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","img","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date","last_update"
"2010 FIFA WORLD CUP SOUTH AFRICA",4504,"Apr 27, 2010","['EA Sports', 'EA Canada']","EA SPORTS 2010 FIFA World Cup South Africa will feature all the emotion and passion of the fiercest national rivalries battling on the world's biggest stage, with all 199 national teams that took part in qualification, all 10 official licensed stadiums to be used in South Africa and stadiums from each qualifying region. Gamers will be able to play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup will come to life in spectacular detail, including confetti rain, streamers, & fireworks--just like the official tournament.
Players choose a team from the 199 nations available and compete against the computer or against other players through online gaming services PlayStation Network or Xbox Live. All 10 official World Cup stadiums are available for play.
EA has announced that there will be gameplay improvements over FIFA 10, such as a higher rate of player fatigue for matches at higher altitudes, with an advantage to a home team who plays at a higher altitude against an away team who does not. EA has also announced that players can get injured outside of international matches.","['Xbox 360', 'PlayStation 3']","['Simulator', 'Sport']",2.9,"520","0","15","10","29","15","/games/boxart/full_2944762AmericaFrontccc.jpg","X360","Sports","EA Sports","EA Canada",8.4,0.85,0.32,0.02,0.42,0.09,"27-04-2010",""
"2010 FIFA WORLD CUP SOUTH AFRICA",4504,"Apr 27, 2010","['EA Sports', 'EA Canada']","EA SPORTS 2010 FIFA World Cup South Africa will feature all the emotion and passion of the fiercest national rivalries battling on the world's biggest stage, with all 199 national teams that took part in qualification, all 10 official licensed stadiums to be used in South Africa and stadiums from each qualifying region. Gamers will be able to play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup will come to life in spectacular detail, including confetti rain, streamers, & fireworks--just like the official tournament.
Players choose a team from the 199 nations available and compete against the computer or against other players through online gaming services PlayStation Network or Xbox Live. All 10 official World Cup stadiums are available for play.
EA has announced that there will be gameplay improvements over FIFA 10, such as a higher rate of player fatigue for matches at higher altitudes, with an advantage to a home team who plays at a higher altitude against an away team who does not. EA has also announced that players can get injured outside of international matches.","['Xbox 360', 'PlayStation 3']","['Simulator', 'Sport']",2.9,"520","0","15","10","29","15","/games/boxart/full_7646662AmericaFrontccc.jpg","PSP","Sports","EA Sports","EA Canada",6.8,0.47,0.09,0.03,0.23,0.12,"27-04-2010",""
"2010 FIFA WORLD CUP SOUTH AFRICA",4504,"Apr 27, 2010","['EA Sports', 'EA Canada']","EA SPORTS 2010 FIFA World Cup South Africa will feature all the emotion and passion of the fiercest national rivalries battling on the world's biggest stage, with all 199 national teams that took part in qualification, all 10 official licensed stadiums to be used in South Africa and stadiums from each qualifying region. Gamers will be able to play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup will come to life in spectacular detail, including confetti rain, streamers, & fireworks--just like the official tournament.
Players choose a team from the 199 nations available and compete against the computer or against other players through online gaming services PlayStation Network or Xbox Live. All 10 official World Cup stadiums are available for play.
EA has announced that there will be gameplay improvements over FIFA 10, such as a higher rate of player fatigue for matches at higher altitudes, with an advantage to a home team who plays at a higher altitude against an away team who does not. EA has also announced that players can get injured outside of international matches.","['Xbox 360', 'PlayStation 3']","['Simulator', 'Sport']",2.9,"520","0","15","10","29","15","/games/boxart/full_3112673AmericaFrontccc.jpg","Wii","Sports","EA Sports","EA Canada",6.8,0.42,0.23,0.01,0.15,0.04,"27-04-2010",""
"2010 FIFA WORLD CUP SOUTH AFRICA",4504,"Apr 27, 2010","['EA Sports', 'EA Canada']","EA SPORTS 2010 FIFA World Cup South Africa will feature all the emotion and passion of the fiercest national rivalries battling on the world's biggest stage, with all 199 national teams that took part in qualification, all 10 official licensed stadiums to be used in South Africa and stadiums from each qualifying region. Gamers will be able to play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup will come to life in spectacular detail, including confetti rain, streamers, & fireworks--just like the official tournament.
Players choose a team from the 199 nations available and compete against the computer or against other players through online gaming services PlayStation Network or Xbox Live. All 10 official World Cup stadiums are available for play.
EA has announced that there will be gameplay improvements over FIFA 10, such as a higher rate of player fatigue for matches at higher altitudes, with an advantage to a home team who plays at a higher altitude against an away team who does not. EA has also announced that players can get injured outside of international matches.","['Xbox 360', 'PlayStation 3']","['Simulator', 'Sport']",2.9,"520","0","15","10","29","15","/games/boxart/full_3253995AmericaFrontccc.jpg","PS3","Sports","EA Sports","EA Canada",8.2,1.23,0.3,0.07,0.64,0.22,"27-04-2010",""
"ACE ATTORNEY INVESTIGATIONS MILES EDGEWORTH",1229,"May 28, 2009","['Capcom']","Ace Attorney Investigations: Miles Edgeworth is a 2009 adventure video game developed and published by Capcom. It was originally released for the Nintendo DS in Japan in 2009, and internationally in 2010, and later for iOS and Android in 2017. It is the fifth game in the Ace Attorney series, and is set between the events of the third and fourth games, Phoenix Wright: Ace Attorney − Trials and Tribulations and Apollo Justice: Ace Attorney.","['Android', 'iOS', 'Nintendo DS']","['Adventure', 'Point-and-Click', 'Puzzle', 'Simulator', 'Visual Novel']",3.4,"3.3K","119","1.1K","560","434","209","/games/boxart/full_6588337AmericaFrontccc.jpg","DS","Adventure","Capcom","Capcom",7.7,0.7,0.23,0.3,0.14,0.04,"16-02-2010",""
"ACE COMBAT ASSAULT HORIZON",5298,"Oct 11, 2011","['Project Aces', 'Bandai Namco Entertainment']","Ace Combat: Assault Horizon is the 14th game released in the Ace Combat series. It took place in the real world, albeit in a different timeline from that of Joint Assault. Players took control of various members of Task Force 108, most notably William Bishop, as they shut down the threat posed by Andrei Markov and other rebels from Russia.","['Windows PC', 'Xbox 360', 'PlayStation 3']","['Arcade', 'Shooter', 'Simulator']",2.5,"188","3","77","27","35","8","/games/boxart/full_ace-combat-assault-horizon_251AmericaFront.jpg","X360","Action","Namco Bandai","Project ACES",7,0.49,0.3,0.03,0.12,0.04,"11-10-2011",""
"ACE COMBAT ASSAULT HORIZON",5298,"Oct 11, 2011","['Project Aces', 'Bandai Namco Entertainment']","Ace Combat: Assault Horizon is the 14th game released in the Ace Combat series. It took place in the real world, albeit in a different timeline from that of Joint Assault. Players took control of various members of Task Force 108, most notably William Bishop, as they shut down the threat posed by Andrei Markov and other rebels from Russia.","['Windows PC', 'Xbox 360', 'PlayStation 3']","['Arcade', 'Shooter', 'Simulator']",2.5,"188","3","77","27","35","8","/games/boxart/full_ace-combat-assault-horizon_504AmericaFront.jpg","PS3","Action","Namco Bandai","Project ACES",7.5,0.74,0.3,0.22,0.16,0.07,"11-10-2011",""
"ACE COMBAT ASSAULT HORIZON LEGACY",15090,"Nov 15, 2011","['Bandai Namco Entertainment', 'Project Aces']","ACE COMBAT 3D soars to the Nintendo 3DS platform with an intense 3D experience that delivers supersonic flying, exciting dogfights and high-altitude acrobatics. With touch screen targeting and added control mechanics, players take full command of every intense skirmish to enable split-second counter-maneuvers, dynamic dogfight action and satisfying enemy takedowns. Fans of the series can look forward to a wide variety of real-world aircrafts to pilot, and a diverse range of missions to take on.","['Nintendo 3DS']","['Arcade', 'Shooter', 'Simulator']",3.3,"73","1","53","17","22","3","/games/boxart/full_ace-combat-3d_942AmericaFront.jpg","3DS","Simulation","Namco Bandai","Namco Bandai Games",7,0.25,0.1,0.08,0.06,0.01,"15-11-2011",""
"ADVANCE WARS DUAL STRIKE",3065,"Jun 23, 2005","['Nintendo', 'Intelligent Systems']","Advance Wars: Dual Strike is the third installment in the Advance Wars series (first on DS media). Advance Wars is the international title of the Wars video game series, which dates back to the Family Computer game Famicom Wars in 1988.
The storyline is a continuation of the previous series and is set in the new location of Omega Land. Black Hole has returned under the leadership of a new commander who seeks to give himself eternal life by draining the energy of Omega Land. The Allied Nations struggle to overcome this threat and are eventually joined by several former Black Hole commanding officers in an effort to save the land.","['Wii U', 'Nintendo DS']","['Simulator', 'Strategy', 'Tactical', 'Turn Based Strategy']",3.9,"795","14","370","132","157","29","/games/boxart/full_7866862AmericaFrontccc.jpg","DS","Strategy","Nintendo","Intelligent Systems",9,0.39,0.3,0.04,0.03,0.03,"22-08-2005",""
"ALAN WAKE",413,"May 14, 2010","['Microsoft Game Studios', 'Remedy Entertainment']","Presented in the style of a TV series, Alan Wake features the trademark Remedy storytelling and pulse-pounding action sequences. As players dive deeper and deeper into the mystery, they’ll face overwhelming odds, plot twists, and cliffhangers. It’s only by mastering the Fight With Light combat mechanic that they can stay one step ahead of the darkness that spreads across Bright Falls.
With the body of an action game and the mind of a psychological thriller, Alan Wake’s intense atmosphere, deep and multi-layered story, and exceptionally tense combat sequences provide players with an entertaining and original gaming experience.","['Windows PC', 'Xbox 360']","['Adventure', 'Shooter']",3.6,"7.1K","130","2.4K","885","801","287","/games/boxart/full_1170189AmericaFrontccc.jpg","X360","Action","Microsoft Game Studios","Remedy Entertainment",8.3,1.33,0.66,0.05,0.5,0.12,"18-05-2010",""
